runtime,Origin,Destination,distance,travel_time,duration_value,travel_mode
2020-03-04 20:55:29.287371,"51.520406, -0.085969","51.529083050304436, -0.08031606526847591",1.9 km,15 mins,910,transit
2020-03-04 20:55:29.796766,"51.520406, -0.085969","51.52818546215703, -0.07504836879379834",1.7 km,14 mins,864,transit
2020-03-04 20:55:30.166232,"51.520406, -0.085969","51.526757642076156, -0.07052489542553632",1.7 km,15 mins,914,transit
2020-03-04 20:55:30.414895,"51.520406, -0.085969","51.52489693791481, -0.06705391235824391",1.9 km,16 mins,937,transit
2020-03-04 20:55:30.699588,"51.520406, -0.085969","51.52273019784939, -0.0648719612550769",2.6 km,21 mins,1284,transit
2020-03-04 20:55:31.007935,"51.520406, -0.085969","51.520405114023305, -0.06412773838106191",3.2 km,20 mins,1188,transit
2020-03-04 20:55:31.646734,"51.520406, -0.085969","51.51808014889558, -0.0648719612550769",2.6 km,19 mins,1166,transit
2020-03-04 20:55:31.950961,"51.520406, -0.085969","51.51591373312012, -0.0670539123582439",2.5 km,20 mins,1184,transit
2020-03-04 20:55:32.277066,"51.520406, -0.085969","51.51405347194712, -0.0705248954255363",1.9 km,14 mins,854,transit
2020-03-04 20:55:32.561023,"51.520406, -0.085969","51.5126260948546, -0.07504836879379834",1.7 km,11 mins,669,transit
2020-03-04 20:55:32.864390,"51.520406, -0.085969","51.511728830997185, -0.08031606526847591",1.9 km,14 mins,852,transit
2020-03-04 20:55:33.353215,"51.520406, -0.085969","51.511422795046634, -0.085969",1.3 km,10 mins,589,transit
2020-03-04 20:55:33.808718,"51.520406, -0.085969","51.511728830997185, -0.09162193473152411",1.5 km,10 mins,605,transit
2020-03-04 20:55:34.216255,"51.520406, -0.085969","51.5126260948546, -0.0968896312062017",1.7 km,8 mins,502,transit
2020-03-04 20:55:34.512021,"51.520406, -0.085969","51.51405347194712, -0.1014131045744637",1.9 km,11 mins,634,transit
2020-03-04 20:55:34.791402,"51.520406, -0.085969","51.51591373312012, -0.10488408764175611",2.3 km,13 mins,756,transit
2020-03-04 20:55:35.167162,"51.520406, -0.085969","51.51808014889558, -0.10706603874492313",1.8 km,12 mins,704,transit
2020-03-04 20:55:35.439776,"51.520406, -0.085969","51.520405114023305, -0.1078102616189381",1.8 km,11 mins,670,transit
2020-03-04 20:55:35.740872,"51.520406, -0.085969","51.52273019784939, -0.10706603874492314",1.8 km,12 mins,716,transit
2020-03-04 20:55:36.048887,"51.520406, -0.085969","51.52489693791481, -0.10488408764175611",2.0 km,13 mins,770,transit
2020-03-04 20:55:36.331627,"51.520406, -0.085969","51.526757642076156, -0.10141310457446372",2.4 km,15 mins,918,transit
2020-03-04 20:55:36.633687,"51.520406, -0.085969","51.52818546215703, -0.0968896312062017",2.0 km,13 mins,753,transit
2020-03-04 20:55:36.931574,"51.520406, -0.085969","51.529083050304436, -0.09162193473152411",1.3 km,10 mins,590,transit
2020-03-04 20:55:37.272885,"51.520406, -0.085969","51.52938920495337, -0.085969",1.4 km,9 mins,535,transit
2020-03-04 20:55:37.545969,"51.520406, -0.085969","51.53837240990674, -0.085969",2.5 km,13 mins,796,transit
2020-03-04 20:55:37.897237,"51.520406, -0.085969","51.53775998182831, -0.07466312915703055",3.2 km,20 mins,1205,transit
2020-03-04 20:55:38.224956,"51.520406, -0.085969","51.535964481050755, -0.06412773550265066",4.2 km,28 mins,1666,transit
2020-03-04 20:55:38.499557,"51.520406, -0.085969","51.53310839772666, -0.055080789024643396",3.5 km,19 mins,1126,transit
2020-03-04 20:55:38.745030,"51.520406, -0.085969","51.5293865463885, -0.04813882385390028",3.5 km,17 mins,1042,transit
2020-03-04 20:55:39.017073,"51.520406, -0.085969","51.525052742137284, -0.04377492267019163",4.2 km,21 mins,1239,transit
2020-03-04 20:55:39.279649,"51.520406, -0.085969","51.520402456093336, -0.042286477353023905",4.0 km,19 mins,1118,transit
2020-03-04 20:55:39.546664,"51.520406, -0.085969","51.515752644842735, -0.04377492267019163",4.5 km,25 mins,1478,transit
2020-03-04 20:55:39.840288,"51.520406, -0.085969","51.51142013775114, -0.048138823853900274",4.1 km,24 mins,1421,transit
2020-03-04 20:55:40.132325,"51.520406, -0.085969","51.5077000583662, -0.055080789024643396",4.4 km,26 mins,1549,transit
2020-03-04 20:55:40.470742,"51.520406, -0.085969","51.50484574699555, -0.06412773550265066",3.6 km,22 mins,1313,transit
2020-03-04 20:55:40.919659,"51.520406, -0.085969","51.50305154337811, -0.07466312915703055",3.0 km,20 mins,1209,transit
2020-03-04 20:55:41.505104,"51.520406, -0.085969","51.50243959009326, -0.085969",2.4 km,13 mins,805,transit
2020-03-04 20:55:42.056342,"51.520406, -0.085969","51.50305154337811, -0.09727487084296947",3.0 km,14 mins,863,transit
2020-03-04 20:55:42.479914,"51.520406, -0.085969","51.50484574699555, -0.10781026449734936",3.6 km,18 mins,1087,transit
2020-03-04 20:55:42.781007,"51.520406, -0.085969","51.5077000583662, -0.11685721097535662",4.5 km,55 mins,3271,transit
2020-03-04 20:55:43.126783,"51.520406, -0.085969","51.51142013775114, -0.12379917614609971",3.6 km,22 mins,1344,transit
