runtime,Origin,Destination,distance,travel_time,duration_value,travel_mode
2020-03-05 20:17:53.349658,"51.520406, -0.085969","51.529367318005434, -0.08443239110143787",1.6 km,13 mins,804,transit
2020-03-05 20:17:53.625208,"51.520406, -0.085969","51.52930176385561, -0.08290345572998951",1.7 km,15 mins,904,transit
2020-03-05 20:17:53.868419,"51.520406, -0.085969","51.52919286206474, -0.08138982643345528",1.8 km,16 mins,989,transit
2020-03-05 20:17:54.093740,"51.520406, -0.085969","51.52904114350006, -0.07989905406821238",1.8 km,15 mins,891,transit
2020-03-05 20:17:54.329102,"51.520406, -0.085969","51.52884734774285, -0.07843856761901391",1.6 km,16 mins,944,transit
2020-03-05 20:17:54.552454,"51.520406, -0.085969","51.52861241947696, -0.07701563481043514",1.9 km,16 mins,960,transit
2020-03-05 20:17:54.761757,"51.520406, -0.085969","51.528337503876145, -0.07563732376232402",1.9 km,16 mins,959,transit
2020-03-05 20:17:55.030315,"51.520406, -0.085969","51.52802394101265, -0.07431046593191461",2.0 km,18 mins,1053,transit
2020-03-05 20:17:55.259476,"51.520406, -0.085969","51.52767325931466, -0.07304162057334906",1.8 km,19 mins,1111,transit
2020-03-05 20:17:55.480502,"51.520406, -0.085969","51.52728716810472, -0.07183704093138256",1.8 km,19 mins,1126,transit
2020-03-05 20:17:55.735766,"51.520406, -0.085969","51.526867549255826, -0.07070264237017464",1.7 km,17 mins,1003,transit
2020-03-05 20:17:56.003340,"51.520406, -0.085969","51.52641644800606, -0.06964397262050773",2.0 km,17 mins,1046,transit
2020-03-05 20:17:56.264916,"51.520406, -0.085969","51.525936062976925, -0.06866618430972486",1.9 km,16 mins,956,transit
2020-03-05 20:17:56.483913,"51.520406, -0.085969","51.52542873544432, -0.06777400991839468",1.9 km,16 mins,981,transit
2020-03-05 20:17:56.696720,"51.520406, -0.085969","51.52489693791481, -0.06697173928644512",2.0 km,18 mins,1069,transit
2020-03-05 20:17:56.921549,"51.520406, -0.085969","51.52434326206311, -0.06626319976953363",2.1 km,19 mins,1117,transit
2020-03-05 20:17:57.148053,"51.520406, -0.085969","51.5237704060899, -0.06565173912402414",2.2 km,20 mins,1207,transit
2020-03-05 20:17:57.417358,"51.520406, -0.085969","51.52318116156196, -0.0651402111764048",2.5 km,23 mins,1363,transit
2020-03-05 20:17:57.646478,"51.520406, -0.085969","51.522578399798846, -0.06473096431061287",3.2 km,21 mins,1277,transit
2020-03-05 20:17:57.853341,"51.520406, -0.085969","51.52196505787289, -0.06442583278479692",3.1 km,20 mins,1195,transit
2020-03-05 20:17:58.072990,"51.520406, -0.085969","51.521344124290785, -0.06422613086784447",3.0 km,19 mins,1137,transit
2020-03-05 20:17:58.358091,"51.520406, -0.085969","51.52071862442667, -0.0641326497657866",3.0 km,18 mins,1098,transit
2020-03-05 20:17:58.590071,"51.520406, -0.085969","51.520091605778134, -0.0641456572891918",3.2 km,21 mins,1262,transit
2020-03-05 20:17:58.843575,"51.520406, -0.085969","51.51946612311654, -0.06426490019513949",2.9 km,18 mins,1061,transit
2020-03-05 20:17:59.044634,"51.520406, -0.085969","51.51884522360464, -0.0644896091214377",3.0 km,18 mins,1087,transit
2020-03-05 20:17:59.306206,"51.520406, -0.085969","51.518231931953466, -0.06481850601665942",2.9 km,18 mins,1074,transit
2020-03-05 20:17:59.513829,"51.520406, -0.085969","51.51762923569113, -0.0652498139573455",2.9 km,18 mins,1059,transit
2020-03-05 20:17:59.745283,"51.520406, -0.085969","51.51704007061509, -0.06578126923351861",2.2 km,16 mins,979,transit
2020-03-05 20:17:59.995221,"51.520406, -0.085969","51.516467306498456, -0.06641013557544885",2.1 km,15 mins,920,transit
2020-03-05 20:18:00.210965,"51.520406, -0.085969","51.51591373312012, -0.06713322038842794",2.0 km,14 mins,863,transit
2020-03-05 20:18:00.427637,"51.520406, -0.085969","51.51538204668624, -0.06794689285810922",1.9 km,13 mins,805,transit
2020-03-05 20:18:00.676580,"51.520406, -0.085969","51.5148748367092, -0.0688471037866409",2.0 km,13 mins,797,transit
2020-03-05 20:18:00.873616,"51.520406, -0.085969","51.514394573407436, -0.06982940701927393",1.9 km,12 mins,732,transit
2020-03-05 20:18:01.066553,"51.520406, -0.085969","51.513943595687586, -0.07088898232217158",1.8 km,11 mins,669,transit
2020-03-05 20:18:01.266249,"51.520406, -0.085969","51.5135240997668, -0.07202065957464301",1.9 km,13 mins,751,transit
2020-03-05 20:18:01.499595,"51.520406, -0.085969","51.513138128490475, -0.07321894414272362",1.7 km,12 mins,710,transit
2020-03-05 20:18:01.755148,"51.520406, -0.085969","51.512787561397246, -0.0744780433057233",1.9 km,13 mins,789,transit
2020-03-05 20:18:02.001070,"51.520406, -0.085969","51.51247410557902, -0.07579189361282801",1.7 km,11 mins,654,transit
2020-03-05 20:18:02.241391,"51.520406, -0.085969","51.512199287380454, -0.07715418905279935",1.7 km,12 mins,717,transit
2020-03-05 20:18:02.454342,"51.520406, -0.085969","51.51196444497797, -0.07855840992605265",2.3 km,15 mins,901,transit
2020-03-05 20:18:02.680785,"51.520406, -0.085969","51.511770721874086, -0.07999785231464403",1.8 km,17 mins,993,transit
2020-03-05 20:18:02.927506,"51.520406, -0.085969","51.51161906133855, -0.0814656580517413",1.7 km,15 mins,914,transit
2020-03-05 20:18:03.368379,"51.520406, -0.085969","51.51151020182316, -0.08295484509777074",1.6 km,14 mins,833,transit
2020-03-05 20:18:03.777489,"51.520406, -0.085969","51.5114446733723, -0.08445833823543389",1.5 km,13 mins,756,transit
2020-03-05 20:18:04.289901,"51.520406, -0.085969","51.511422795046634, -0.085969",1.3 km,10 mins,624,transit
2020-03-05 20:18:04.699391,"51.520406, -0.085969","51.5114446733723, -0.08747966176456612",1.2 km,10 mins,589,transit
2020-03-05 20:18:04.918263,"51.520406, -0.085969","51.51151020182316, -0.08898315490222929",1.4 km,11 mins,676,transit
2020-03-05 20:18:05.235142,"51.520406, -0.085969","51.51161906133855, -0.09047234194825872",1.5 km,13 mins,754,transit
2020-03-05 20:18:05.620446,"51.520406, -0.085969","51.511770721874086, -0.09194014768535598",1.6 km,14 mins,851,transit
2020-03-05 20:18:06.013990,"51.520406, -0.085969","51.51196444497797, -0.09337959007394736",1.8 km,12 mins,740,transit
2020-03-05 20:18:06.404585,"51.520406, -0.085969","51.512199287380454, -0.09478381094720066",1.8 km,12 mins,722,transit
2020-03-05 20:18:06.791386,"51.520406, -0.085969","51.51247410557902, -0.096146106387172",1.6 km,10 mins,606,transit
2020-03-05 20:18:07.200407,"51.520406, -0.085969","51.512787561397246, -0.0974599566942767",1.7 km,10 mins,594,transit
2020-03-05 20:18:07.669042,"51.520406, -0.085969","51.513138128490475, -0.0987190558572764",1.9 km,11 mins,662,transit
2020-03-05 20:18:07.911627,"51.520406, -0.085969","51.5135240997668, -0.09991734042535699",1.8 km,11 mins,643,transit
2020-03-05 20:18:08.146028,"51.520406, -0.085969","51.513943595687586, -0.10104901767782845",1.9 km,12 mins,700,transit
2020-03-05 20:18:08.369972,"51.520406, -0.085969","51.514394573407436, -0.1021085929807261",2.2 km,13 mins,771,transit
2020-03-05 20:18:08.618813,"51.520406, -0.085969","51.5148748367092, -0.10309089621335912",2.3 km,14 mins,855,transit
2020-03-05 20:18:08.879869,"51.520406, -0.085969","51.51538204668624, -0.10399110714189079",2.3 km,14 mins,841,transit
2020-03-05 20:18:09.120692,"51.520406, -0.085969","51.51591373312012, -0.10480477961157207",2.3 km,15 mins,875,transit
